,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
50409,5.9043784,-1.1507058,-3.6665664,-4.5429463,3.7767181,3.8511288,-2.315408,1.2620926,0.75006896,-0.16011268,-1.8526342,-0.9504024,1.1763787,-3.2297316,1.8203018,3.0513628
17703,-5.8850293,1.5657928,2.4550648,-0.5812415,0.45739558,1.199929,-2.0474274,-2.3707013,-1.5803269,-1.5254633,2.301453,0.48516315,0.07683043,-2.049005,7.1632714,1.0565603
18982,5.4402146,1.5694925,-2.7254372,-5.2036977,0.71177614,5.3338823,-3.5046556,0.13068996,2.8480122,-1.3249899,0.42072523,0.59923375,-2.2090187,-4.860568,0.6758308,3.4717383
26469,1.8590797,-2.993591,1.7861493,3.4202497,0.578858,-0.6172202,2.779669,-0.32458147,-3.6219158,-5.650167,-0.06694896,-1.5863824,0.1319323,0.0076556485,-3.5344694,-1.5199784
29636,-0.7644409,-1.9637444,-4.5175676,-2.507666,2.852055,4.6111007,2.057579,1.490133,2.643608,0.056667745,-2.6886966,2.3944564,-0.8864198,-2.4669192,-2.0618002,3.4096537
8876,-4.0387235,5.674692,-2.560005,-7.8360763,1.5620408,-1.8222872,-8.502428,-0.69711906,0.9495311,3.2644005,-0.09221161,3.1278574,-0.16483821,-8.045885,2.8925862,2.555078
12768,0.84408134,-4.754863,-3.1918447,-5.6712646,2.9658022,1.7224351,4.824194,0.9936358,0.24592721,1.0922834,-3.2208996,-0.6031343,-0.92522836,-2.1724744,-2.7514312,4.3830857
17432,-1.2858359,0.9918022,-3.2644506,-3.2684574,0.40432158,-2.4790215,8.084311,1.985265,-1.2973244,-2.4626265,1.403099,5.1577573,-1.0112401,-1.5429902,0.09935637,2.5500104
45126,3.8047566,0.6803473,2.219207,2.4778423,-0.73093045,5.346799,0.9091803,-0.59767354,-0.8969159,-3.3657835,-0.57690084,0.17235246,0.7157047,3.9853969,-0.3377236,-0.52122045
44212,-2.0649803,2.5746963,-2.332747,-3.1556265,0.08426838,4.1114683,4.0522037,1.0624588,1.4258543,4.058642,-1.5724682,2.0461128,-1.7687476,-3.229646,0.5943577,4.2838707
44123,-0.3236135,-0.0881778,-1.9859654,1.0957909,4.530933,6.3937554,3.6757863,2.0180867,-2.9384913,1.057754,-3.069501,0.17840827,-1.3270645,-0.19113687,-4.964546,2.1966815
62033,2.5744061,-0.45128173,1.485815,0.85393566,1.9408282,6.8492756,2.4210286,0.5220202,-4.8037586,1.1286622,-3.5909243,-1.798352,-1.0526092,3.4227655,0.49884894,1.0270382
10531,0.40667006,2.1982563,-1.8615686,-5.5592656,1.0078218,4.7533445,-5.4036546,-1.1172566,3.4695756,1.3428793,-1.2531828,0.31102395,1.3562402,-6.09637,8.576467,1.9255351
83065,-1.6185216,2.7016518,-3.2316537,0.24069786,3.553832,4.077987,-0.8743101,2.445186,-1.190968,-1.1759675,7.8421474,3.1507175,0.18522029,-2.7569995,0.49665666,0.48306087
59039,-1.0870429,5.3004355,-4.0778203,-4.371043,0.7070529,6.7887483,-1.4814537,2.1731231,2.231268,5.418724,2.8696012,0.8017925,0.52177274,0.8901189,-8.013946,5.8851347
17907,-2.2484205,-1.2628118,0.8748006,-0.72222143,-0.90567565,1.9670013,4.1083627,0.029939476,-1.4412806,-2.8441448,-3.2997918,1.4452493,0.45085442,3.4176736,0.070127174,1.8719589
22310,-1.0811199,1.9609119,-0.8645702,-0.6032715,0.073201634,0.93446046,0.8354156,0.5860602,-1.723155,-4.2563477,2.9089832,2.5031984,1.1916331,-0.1114053,3.4766433,0.8793095
